IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Premkt. Price,Volume,Country,Employees,Sector,Industry,Founded,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Gross Profit,Rev. Growth (Q),GP Growth,EBITDA,Investing CF,Financing CF,Net CF,Working Capital,Equity,Rating
2023-04-21,JYD,Jayud Global Logistics Limited,4.00,0.91,-77.24%,23856831,1250000,5000000,5.26,-82.69%,NASDAQ,,16095,China,182,Industrials,Integrated Freight & Logistics,2001,,,,93542553,,5159338,,,2649106,-790576,1288149,-1632072,48489,4598989,
2023-04-20,USGO,U.S. GoldMining Inc.,10.00,6.20,-38.00%,76871940,2000000,20000000,9.50,-34.74%,NASDAQ,,6909,United States,6,Materials,Other Industrial Metals & Mining,2015,,,,,,,,,-9288895,-979523,21842038,11433700,11493428,12212711,Strong Buy
2023-04-20,UCAR,U Power Limited,6.00,5.29,-11.83%,13018357,2416667,14500002,810.00,-99.35%,NASDAQ,5.11,69829,China,105,Consumer Discretionary,Auto & Truck Dealerships,2013,,,,5415000,269.88%,335256,,65.92%,-4368409,-441948,14637415,13263540,13796445,35902805,
2023-04-20,WLGS,"WANG & LEE GROUP, Inc.",5.00,0.55,-89.00%,8304609,1600000,8000000,5.80,-90.51%,NASDAQ,,99880,Hong Kong,21,Industrials,Engineering & Construction,1981,,,,6825879,65.07%,2440600,,183.87%,,,,,6164570,5979962,
2023-04-18,TPET,Trio Petroleum Corp.,3.00,0.37,-87.68%,13931100,2000000,6000000,2.65,-86.05%,NYSEAMERICAN,0.38,6365223,United States,7,Energy,Oil & Gas Exploration & Production,2021,,,,,,,,,-7129657,-2712626,7542642,236217,-1450919,9040326,
2023-04-18,TCJH,Top KingWin Ltd,4.00,0.82,-79.47%,12109750,2750000,11000000,3.80,-78.39%,NASDAQ,0.89,293137,China,40,Financials,Capital Markets,2018,,,,,,,,,,,,,8374708,8780429,
2023-04-14,GDTC,CytoMed Therapeutics Limited,4.00,2.20,-45.00%,25364522,2412369,9649476,4.00,-45.00%,NASDAQ,,353,Singapore,27,Healthcare,Biotechnology,2018,,,,,,,,,-2720519,-2080328,8029528,3424997,6897002,8268671,Buy
2023-04-13,VCIG,VCI Global Limited,4.00,1.17,-70.75%,47066265,1280000,5120000,5.16,-77.33%,NASDAQ,,252404,Malaysia,53,Industrials,Consulting Services,2013,,,,12560695,1507.78%,9817897,,1351.62%,4971944,2984117,3617975,2860345,13023189,15135736,
2023-04-12,GDHG,Golden Heaven Group Holdings Ltd.,4.00,0.28,-92.97%,14541750,1750000,7000000,4.00,-92.97%,NASDAQ,0.27,1896247,China,617,Consumer Discretionary,Leisure,2008,,,,31786802,-17.47%,19313752,,-28.02%,14162435,-7910651,5895556,-22201237,210051,61050758,
2023-04-05,ARBB,ARB IOT Group Limited,4.00,1.08,-73.00%,28552500,1250000,5000000,3.60,-70.00%,NASDAQ,1.01,94370,Malaysia,41,Technology,Information Technology Services,1997,,,,242132250,381.14%,10454429,,386.50%,7577303,-20338248,9389189,457238,22791283,66752586,Strong Buy
2023-04-04,ISPR,Ispire Technology Inc.,7.00,5.09,-27.29%,286716621,2700000,18900000,8.53,-40.33%,NASDAQ,,29717,United States,56,Consumer Staples,Tobacco,,,,,141315295,41.74%,24409584,30.69%,53.28%,-8210817,-11538215,-18586829,-66764165,24482786,28987264,
2023-04-04,MGIH,Millennium Group International Holdings Limited,4.00,1.42,-64.50%,15975000,1250000,5000000,4.00,-64.50%,NASDAQ,,13841,Hong Kong,861,Consumer Discretionary,Packaging & Containers,1978,,,,45598620,,9064262,,,1955276,-216520,1799269,8129171,25364626,39918802,
2023-04-03,MWG,Multi Ways Holdings Ltd,2.50,0.36,-85.60%,11102400,7240000,18100000,3.05,-88.20%,NYSEAMERICAN,,813,Singapore,86,Industrials,Rental & Leasing Services,1988,,,,32636000,9.20%,8428000,,23.18%,,,,,9902000,16773000,
2023-03-31,HSHP,Himalaya Shipping Ltd.,5.80,7.97,33.28%,338908000,7720000,44776000,6.05,27.77%,NYSE,,31227,Bermuda,2,Industrials,Marine Shipping,2021,0.07,0.88%,,36736000,,27590000,,,24233000,-413055000,431871000,25290000,7507000,154205000,
2023-03-31,SFWL,Shengfeng Development Limited,4.00,1.54,-61.50%,127819997,2400000,9600000,4.10,-62.44%,NASDAQ,1.55,73619,China,1341,Industrials,Integrated Freight & Logistics,2001,,,,404121000,16.56%,46506000,,12.48%,30763000,-18821000,13191000,5925000,12729000,107947000,
2023-03-31,SYT,"SYLA Technologies Co., Ltd.",8.00,1.96,-75.50%,50889636,1875000,15000000,8.00,-75.50%,NASDAQ,,4948,Japan,114,Technology,Software - Application,2010,0.01,0.49%,,159042558,71.26%,28181693,,56.60%,,,,,90593810,51614556,
2023-03-31,HKIT,Hitek Global Inc.,5.00,1.42,-71.60%,20437208,3200000,16000000,,,NASDAQ,1.55,737995,China,48,Technology,Software - Application,,,,,4563731,-21.38%,1921240,,-39.42%,1962216,-6946555,15142902,8108377,21413847,28337586,
2023-03-30,CHSN,Chanson International Holding,4.00,1.85,-53.75%,22921498,3750000,15000000,4.00,-53.75%,NASDAQ,,5061,China,354,Consumer Discretionary,Restaurants,2009,,,,13539559,12.37%,6288154,,8.63%,2021072,-11545617,11862769,1078600,-5398300,12126790,
2023-03-29,TBMC,Trailblazer Merger Corporation I,10.00,10.74,7.40%,96869430,6000000,60000000,,,NASDAQ,,29738,United States,,Financials,Shell Companies,2021,,,,,,,,,1864240,-70380000,71424950,573423,-192500,-1677058,
2023-03-29,HLP,Hongli Group Inc.,4.00,1.64,-59.00%,20289875,2062500,8250000,4.40,-62.73%,NASDAQ,1.72,220670,China,207,Materials,Steel,,,,,18712774,12.95%,6554766,,9.14%,3381555,-9679486,10304180,277273,4869071,20583170,
2023-03-28,ZJYL,Jin Medical International Ltd.,8.00,3.92,-51.00%,613664632,1000000,8000000,0.40,880.00%,NASDAQ,4.16,1221970,China,258,Healthcare,Medical Instruments & Supplies,2006,,,,,,,,,,,,,21613122,23546519,
