IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Close,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Profit Margin,Tax / Revenue,Equity,Working Capital,Rating
2022-02-11,HNRA,HNR Acquisition Corp,10.00,2.39,-76.12%,16799187,7500000,75000000,,,NYSEAMERICAN,Financials,Shell Companies,United States,2,2020,59189,2.29,,,,,,,,,-629834,,-190966,,,-5113218,-1735000,
2022-02-11,JGGC,Jaguar Global Growth Corporation I,10.00,1.70,-83.00%,13198885,20000000,200000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,3823024,7.09,,,,,,,,,5561481,145.49%,5561481,,,-12474631,-3446881,
2022-02-11,TCBP,TC Biopharm (Holdings) Plc,4.25,1.57,-63.06%,1511901,4117648,17500004,3000.00,-99.95%,NASDAQ,Healthcare,Biotechnology,United Kingdom,41,2013,142286,1.47,,,,,,,,,-7477156,,-7850248,,,3356831,1188011,Strong Buy
2022-02-10,SKYX,SKYX Platforms Corp.,14.00,0.83,-94.06%,80577215,1650000,23100000,14.00,-94.06%,NASDAQ,Industrials,Electrical Equipment & Parts,United States,60,2004,208791,0.83,,,,58785762,183479.30%,243410.90%,18035849,137483.71%,-39732656,,-32847019,-67.59%,,16222010,3125305,Strong Buy
2022-02-10,HTCR,"HeartCore Enterprises, Inc.",5.00,0.93,-81.45%,19351493,3000000,15000000,5.00,-81.45%,NASDAQ,Technology,Software - Application,Japan,99,2009,11310,0.94,,,,21845830,147.73%,66.41%,8067414,140.73%,-4189890,,-3131497,-19.18%,-0.61%,5165296,-1016662,
2022-02-09,EVGR,Evergreen Corporation,10.00,11.39,13.90%,124187095,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Malaysia,2,2021,742172,11.40,,,,,,,,,3480113,75.24%,3480113,,,-8643082,-4618082,
2022-02-09,BYNO,byNordic Acquisition Corporation,10.00,11.13,11.30%,114374907,15000000,150000000,,,NASDAQ,Financials,Shell Companies,Sweden,5,2019,5496,11.14,,,,,,,,,2478890,,3412991,,,-5798482,-578321,
2022-02-09,CPAQ,Counter Press Acquisition Corporation,10.00,10.33,3.30%,95535858,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,315551,10.33,,,,,,,,,,,,,,-1840136,651935,
2022-02-08,LIVB,LIV Capital Acquisition Corp. II,10.00,10.97,9.70%,127361700,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Mexico,,2021,3,10.97,,,,,,,,,-1211650,,-1211650,,,-7109660,-7109660,
2022-02-07,ATAK,DIH Holding US Inc,10.00,5.02,-49.80%,53514661,20000000,200000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,1391965,4.24,,,,,,,,,3145147,,3145147,,,-9521134,-1783134,
2022-02-04,ACLX,"Arcellx, Inc.",15.00,51.38,242.53%,2712690336,8250000,123750000,19.00,170.42%,NASDAQ,Healthcare,Biotechnology,United States,130,2015,397479,52.82,,,,110319000,,,110319000,,-70690000,,-44264000,-64.08%,0.60%,485380000,598125000,Strong Buy
2022-02-04,TGR,Kimbell Tiger Acquisition Corporation,10.00,10.55,5.50%,303339930,20000000,200000000,,,NYSE,Financials,Shell Companies,United States,,2021,3700,10.55,,,,,,,,,3428877,,4097267,,,-3455984,233552341,
2022-02-04,NVCT,"Nuvectis Pharma, Inc.",5.00,6.51,30.20%,115675044,2083333,10416665,3.95,64.81%,NASDAQ,Healthcare,Biotechnology,United States,13,2020,68710,6.71,,,,,,,,,-22260000,,-22260000,,,12201000,12201000,Strong Buy
2022-02-04,SSIC,Silver Spike Investment Corp.,14.00,11.11,-20.64%,69044984,6071429,85000006,14.00,-20.64%,NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,United States,,2021,409,11.10,0.25,2.25%,,7764501,,156.24%,8269592599,,5402289,,5607505003,69.58%,82.86%,87402852,31648839326,Hold
2022-02-03,MURF,Murphy Canyon Acquisition Corp.,10.00,16.85,68.50%,105278463,11500000,115000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,233510,16.99,,,,,,,,,772444,,1183863,,,-5479400,-1647685,
2022-02-02,MTEK,Maris-Tech Ltd.,4.20,1.51,-64.05%,11896537,3700477,15542003,3.00,-49.67%,NASDAQ,Technology,Electronic Components,Israel,9,2008,28639,1.53,,,,4031103,94.20%,,1927396,98.84%,-2709596,,-2868953,-67.22%,,6894490,7264319,
2022-02-01,ACAX,Alset Capital Acquisition Corp.,10.00,3.82,-61.80%,50320940,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,507510,10.40,,,,,,,,,1176931,,1693734,,,-1568624,846848,
2022-01-31,BWAQ,Blue World Acquisition Corporation,10.00,11.25,12.50%,82150268,8000000,80000000,,,NASDAQ,Financials,Shell Companies,United States,3,2021,1208,11.25,,,,,,,,,1607824,,1607824,,,-3128788,-1328788,
2022-01-27,CRDO,Credo Technology Group Holding Ltd,10.00,18.17,81.70%,2966990565,25000000,250000000,12.10,50.17%,NASDAQ,Technology,Communication Equipment,United States,438,2008,2060073,17.78,,,,164276000,-13.37%,-2.23%,98050000,-11.97%,-33829000,,-21650000,-20.59%,-0.54%,533967000,471246000,Strong Buy
2022-01-27,KSCP,"Knightscope, Inc.",10.00,0.46,-95.43%,46888510,4000000,40000000,14.44,-96.84%,NASDAQ,Industrials,Security & Protection Services,United States,95,2013,1037645,0.48,,,,12797000,127.26%,28.21%,-2024000,,-22118000,,-19203000,-172.84%,,-26634000,1267000,Strong Buy
2022-01-25,LATG,Chenghe Acquisition I Co.,10.00,11.31,13.10%,81340084,13000000,130000000,,,NASDAQ,Financials,Shell Companies,Mexico,,2021,22964,11.31,,,,,,,,,425912,-95.67%,425912,,,-2260996,-2116996,
2022-01-25,KYCH,Keyarch Acquisition Corporation,10.00,4.10,-59.00%,23205471,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,678599,9.07,,,,,,,,,2177401,,2177401,,,-169861,-169861,
2022-01-25,FGI,FGI Industries Ltd.,6.00,1.05,-82.50%,10024033,2500000,15000000,5.00,-79.00%,NASDAQ,Consumer Discretionary,"Furnishings, Fixtures & Appliances",United States,287,1987,431,1.04,,,,117241604,-27.50%,-2.62%,32077282,1.80%,733604,-80.06%,4309059,0.63%,0.69%,24180812,18070964,Buy
2022-01-21,HMA,Heartland Media Acquisition Corp.,10.00,10.54,5.40%,253578698,17500000,175000000,,,NYSE,Financials,Shell Companies,United States,,2021,1322298,10.60,,,,,,,,,4008186,-40.70%,4995836,,,-8569332,-1057815,
2022-01-21,HCMA,HCM Acquisition Corp,10.00,14.50,45.00%,205057552,25000000,250000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,5179,13.68,,,,,,,,,8530555,20.14%,8530555,,,-5715192,-1893942,
2022-01-21,KNSW,KnightSwan Acquisition Corporation,10.00,10.60,6.00%,110078816,20000000,200000000,,,NYSE,Financials,Shell Companies,United States,1,2021,17620,10.58,,,,,,,,,1690485,,2969971,,,-7479751,-507689,
2022-01-20,BYN,Banyan Acquisition Corporation,10.00,10.90,9.00%,270000000,21000000,210000000,,,NYSE,Financials,Shell Companies,United States,,2021,27145,12.94,,,,,,,,,,-18.89%,8986622,,,-10195957,516438,
2022-01-20,GAQ,Generation Asia I Acquisition Limited,10.00,11.09,10.90%,168370598,20000000,200000000,,,NASDAQ,Financials,Shell Companies,Cayman Islands,,2021,1829,11.08,,,,,,,,,8390397,398.63%,8390397,,,-10370635,-53599,
2022-01-20,DUET,DUET Acquisition Corp.,10.00,10.96,9.60%,107767093,7500000,75000000,,,NASDAQ,Financials,Shell Companies,Malaysia,3,2021,100,10.96,,,,,,,,,122124,,526786,,,-2012928,-1169635,
2022-01-19,AIB,AIB Acquisition Corporation,10.00,11.72,17.20%,42332933,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,4200,11.85,,,,,,,,,781571,,781571,,,-3517202,7113700,
2022-01-18,TETE,Technology & Telecommunication Acquisition Corporation,10.00,11.88,18.80%,75844403,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Malaysia,2,2021,2933,11.89,,,,,,,,,1667570,,1667570,,,-4943418,-918418,
2022-01-18,TKLF,"Yoshitsu Co., Ltd",4.00,0.23,-94.31%,8246887,6000000,24000000,40.99,-99.44%,NASDAQ,Consumer Discretionary,Specialty Retail,Japan,135,2006,23644,0.23,,,,166272946,-34.86%,,24325365,-49.41%,-6422060,,-1416519,-3.86%,0.09%,27966448,17560279,
2022-01-14,PPYA,Papaya Growth Opportunity Corp. I,10.00,10.94,9.40%,172504983,25000000,250000000,,,NASDAQ,Financials,Shell Companies,United States,3,2021,6980,11.14,,,,,,,,,2428081,56.60%,3981255,,,-20532156,-21074962,
2022-01-14,ACAB,Atlantic Coastal Acquisition Corp. II,10.00,10.77,7.70%,87962780,26100000,261000000,,,NASDAQ,Financials,Shell Companies,United States,4,2021,386,10.79,,,,,,,,,3983270,,5487259,,,-11663428,-2585951,
2022-01-13,TPG,TPG Inc.,29.50,43.43,47.22%,16606933602,33900000,1000050000,33.00,31.61%,NASDAQ,Financials,Asset Management,United States,1850,1992,511214,43.79,1.76,4.05%,-15.72%,2389911000,19.32%,123.78%,595936000,22.89%,80090000,-13.35%,178886000,3.35%,2.52%,579157000,,Buy
2022-01-13,WNNR,Andretti Acquisition Corp.,10.00,,,185569280,20000000,200000000,,,,Financials,Shell Companies,United States,3,2021,,,,,,,,,,,,,,,,,,
2022-01-13,CSLM,CSLM Acquisition Corp,10.00,11.13,11.30%,105912368,16500000,165000000,,,NASDAQ,Financials,Shell Companies,United States,3,2021,648,11.12,,,,,,,,,3860659,,3860659,,,-6975921,189897216,
2022-01-12,GHIX,"Gores Holdings IX, Inc.",10.00,10.57,5.70%,202468107,52500000,525000000,,,NASDAQ,Financials,Shell Companies,United States,3,2021,4396,10.61,,,,,,,,,23247227,44.83%,26198571,,,-22713723,-1779880,
2022-01-12,VCXB,10X Capital Venture Acquisition Corp. III,10.00,10.86,8.60%,143289903,26100000,261000000,,,NYSEAMERICAN,Financials,Shell Companies,United States,4,2021,3144,10.87,,,,,,,,,3820857,,3820857,,,-13997463,182537,
2022-01-12,ITAQ,"Industrial Tech Acquisitions II, Inc.",10.00,10.95,9.50%,61992210,15000000,150000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,158359,10.95,,,,,,,,,3483826,37.92%,4362297,,,-7499621,-1046388,
2022-01-12,WAVS,Western Acquisition Ventures Corp.,10.00,10.83,8.30%,38515920,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,903,10.83,,,,,,,,,-282129,,6013,,,-2123046,-2062980,
2022-01-12,THAR,"Tharimmune, Inc.",4.00,0.36,-90.97%,4239197,3000000,12000000,93.75,-99.61%,NASDAQ,Healthcare,Biotechnology,United States,2,2017,46771,0.37,,,,,,,,,-9319094,,-9302589,,,9131347,9131347,
2022-01-11,BRAC,Broad Capital Acquisition Corp.,10.00,11.28,12.80%,33737318,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,4200,11.28,,,,,,,,,-666446,,-231259,,,-6086146,-3007498,
2022-01-07,CINC,"CinCor Pharma, Inc.",16.00,29.06,81.63%,1271790558,12100000,193600000,21.00,38.38%,NASDAQ,Healthcare,Biotechnology,United States,19,2018,,29.06,,,,,,,,,-88093302,,-88087682,,,518937569,518837847,Buy
2022-01-07,CXAC,C5 Acquisition Corporation,10.00,10.74,7.40%,387585916,25000000,250000000,,,NYSE,Financials,Shell Companies,United States,,2021,5170,10.74,,,,,,,,,3892196,,5294964,,,-9309463,-706774,
2022-01-07,AMLX,"Amylyx Pharmaceuticals, Inc.",19.00,1.78,-90.63%,120652209,10000000,190000000,21.00,-91.52%,NASDAQ,Healthcare,Biotechnology,United States,384,2014,2466609,1.88,,,,380786000,1612.94%,395.54%,355345000,1747.20%,49271000,,55385000,12.94%,1.32%,433432000,382624000,Buy
2022-01-07,VBOC,Viscogliosi Brothers Acquisition Corp.,10.00,10.48,4.75%,112879164,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,101,10.48,,,,,,,,,451451,,852719,,,-2665775,-204889,
2022-01-07,VIGL,"Vigil Neuroscience, Inc.",14.00,2.58,-81.57%,96967525,7000000,98000000,12.00,-78.50%,NASDAQ,Healthcare,Biotechnology,United States,69,2020,66652,2.77,,,,,,,,,-82638000,,-80875000,,,116252000,110246000,Buy
2022-01-07,HOUR,"Hour Loop, Inc.",4.00,1.06,-73.50%,37201018,1500000,6000000,4.50,-76.44%,NASDAQ,Consumer Discretionary,Internet Retail,United States,178,2015,879,1.12,,,,132124202,37.73%,16.14%,66517255,35.78%,-2429694,,-2386228,-1.84%,-0.55%,4452897,7088729,Hold
2022-01-06,SCRM,Screaming Eagle Acquisition Corp.,10.00,10.77,7.70%,386914652,75000000,750000000,,,NASDAQ,Financials,Shell Companies,United States,3,2021,53783,10.77,,,,,,,,,20643686,,20643686,,,-26395037,70963,
2022-01-05,CITE,Cartica Acquisition Corp,10.00,11.20,12.00%,111601437,20000000,200000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,5400,11.14,,,,,,,,,7951227,24.51%,7951227,,,-9305631,821369,
