IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Close,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Profit Margin,Tax / Revenue,Equity,Working Capital,Rating
2022-05-17,GV,Visionary Holdings Inc.,4.00,0.15,-96.25%,7743967,4250000,17000000,28.00,-99.46%,NASDAQ,Consumer Staples,Education & Training Services,Canada,30,2013,44996,0.16,,,,11522339,28.87%,,4421796,-10.26%,3286293,29.48%,,28.52%,1.14%,20933476,-51253414,
2022-05-13,ACDC,ProFrac Holding Corp.,18.00,8.10,-55.00%,1292713020,16000000,288000000,17.60,-53.98%,NASDAQ,Energy,Oil & Gas Equipment & Services,United States,2949,2014,675150,8.10,,,,2630000000,8.43%,-38.41%,924800000,-6.29%,-107500000,,496800000,-4.09%,0.05%,1211200000,-10800000,Buy
2022-05-13,PNAC,Prime Number Acquisition I Corp.,10.00,,,29494920,6000000,60000000,,,,Financials,Shell Companies,United States,,2021,,,,,,,,,,,,,,,,,,
2022-05-13,ASNS,"Actelis Networks, Inc.",4.00,0.75,-81.25%,2265201,3000000,12000000,39.00,-98.08%,NASDAQ,Technology,Communication Equipment,United States,43,1998,1876,0.80,,,,5606000,-36.52%,-59.87%,1900000,-53.77%,-6286000,,-5493000,-112.13%,,229000,-1000000,
2022-05-13,PFHC,ProFrac Holding Corp.,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,HNVR,"Hanover Bancorp, Inc.",21.00,16.42,-21.81%,118706814,1275000,26775000,21.44,-23.41%,NASDAQ,Financials,Banks - Regional,United States,176,2008,5464,16.78,0.40,2.44%,,60446000,-5.71%,3.55%,60446000,-5.71%,13589000,-39.22%,22361000,22.48%,7.84%,184830000,,Buy
2022-05-11,MCAC,Monterey Capital Acquisition Corporation,10.00,11.23,12.30%,108662996,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,3,2021,1306,11.23,,,,,,,,,-4322154,,-3867137,,,-9371285,-2870164,
2022-05-10,IVCA,Investcorp India Acquisition Corp,10.00,11.25,12.50%,182904998,22500000,225000000,,,NASDAQ,Financials,Shell Companies,Cayman Islands,2,2021,161,11.26,,,,,,,,,8804589,,8804589,,,-1277151,571092,
2022-05-10,GBBK,Global Blockchain Acquisition Corp.,10.00,10.90,9.00%,77456548,15000000,150000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,4,10.77,,,,,,,,,2451100,,3325888,,,986669,-97898,
2022-05-06,BLCO,Bausch + Lomb Corporation,18.00,14.76,-18.00%,5180645610,35000000,630000000,18.50,-20.22%,NYSE,Healthcare,Medical Instruments & Supplies,Canada,13300,1853,251275,14.90,,,,4146000000,10.03%,17.77%,2504000000,11.34%,-260000000,,487000000,-6.27%,1.98%,6850000000,1163000000,Buy
2022-05-06,PEPG,PepGen Inc.,12.00,11.70,-2.50%,378956390,7200000,86400000,15.60,-25.00%,NASDAQ,Healthcare,Biotechnology,United States,64,2018,33040,11.83,,,,,,,,,-78626000,,-77369000,,,108421000,95147000,Strong Buy
2022-05-06,RENE,Cartesian Growth Corporation II,10.00,11.21,12.05%,242258375,20000000,200000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,449108,11.19,,,,,,,,,11441040,132.14%,11441040,,,-18539952,-1200944,
2022-05-05,EDBL,Edible Garden AG Incorporated,5.00,6.22,24.40%,1877320,2142858,10714290,1800.00,-99.65%,NASDAQ,Consumer Staples,Farm Products,United States,116,2020,164512,6.30,,,,14049000,21.62%,32.77%,822000,125.82%,-10188000,,-8217000,-72.52%,,-288000,-257000,
2022-05-04,AUST,Austin Gold Corp.,4.00,0.91,-77.32%,12037477,3265000,13060000,6.50,-86.05%,NYSEAMERICAN,Materials,Gold,Canada,,2020,178533,0.88,,,,,,,,,-3008023,,-2928445,,,8293485,6617941,Strong Buy
2022-05-03,ASCB,A SPAC II Acquisition Corporation,10.00,11.08,10.80%,79736057,18500000,185000000,,,NASDAQ,Financials,Shell Companies,Singapore,3,2021,6,11.08,,,,,,,,,4444613,,4444613,,,-6060566,202485204,
2022-04-29,BLTE,"Belite Bio, Inc",6.00,38.00,533.33%,1130656636,6000000,36000000,12.50,204.00%,NASDAQ,Healthcare,Biotechnology,United States,20,2018,15718,37.27,,,,,,,,,-31632000,,-31199000,,,90431000,86307000,Strong Buy
2022-04-29,HLVX,"HilleVax, Inc.",17.00,12.02,-29.29%,597403977,11765000,200005000,18.76,-35.93%,NASDAQ,Healthcare,Biotechnology,United States,90,2020,44891,12.58,,,,,,,,,-123566000,,-119018000,,,265525000,281412000,Strong Buy
2022-04-28,CHEA,Chenghe Acquisition Co.,10.00,5.58,-44.20%,63124749,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Singapore,,2021,42269,5.58,,,,,,,,,1953085,,1953085,,,-3787560,237440,
2022-04-28,CLRC,ClimateRock,10.00,11.34,13.40%,53076457,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United Kingdom,2,2021,3,11.44,,,,,,,,,483430,,483430,,,-5580983,-3168483,
2022-04-27,OST,"Ostin Technology Group Co., Ltd.",4.00,0.41,-89.79%,6861971,3375000,13500000,10.10,-95.96%,NASDAQ,Technology,Electronic Components,China,175,2010,42027,0.46,,,,57525700,-65.71%,,2053603,-88.17%,-10948795,,-6779112,-19.03%,0.40%,13957912,-16093725,
